SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,TiO2,SO3,Si,Al,Fe,Ca,Mg,Na,K,Ti,TS,GSAsh,GSAsh_Dry,Standard_Ash,MnO,Ash_Deformation,Ash_Softening,Ash_Fluid
34.0,18.0,37.0,1.1,0.797,0.216,1.0,0.79,2.3,14700.0,8830.0,24000.0,728.0,445.0,148.0,771.0,438.0,0.958,8.9,9.27,8.2,0.0163,1990.0,2040.0,2150.0
43.7,28.3,14.4,1.85,1.28,0.351,3.5,1.09,2.2,18700.0,13700.0,9200.0,1210.0,704.0,238.0,2660.0,594.0,0.903,8.9,9.14,9.22,0.053,2400.0,2650.0,2800.0
53.7,22.1,4.26,4.64,1.18,0.486,3.02,1.15,1.3,43600.0,20300.0,5170.0,5740.0,1230.0,625.0,4360.0,1200.0,0.534,16.9,17.4,15.6,0.038,2290.0,2370.0,2460.0
46.4,29.7,13.1,0.7,1.05,0.23,2.22,1.34,1.33,49800.0,36000.0,21100.0,1150.0,1450.0,390.0,4250.0,1840.0,0.534,22.8,23.0,23.2,0.01,2750.0,2800.0,2800.0
45.4,17.4,29.8,0.95,0.847,0.135,2.18,0.91,1.76,38100.0,16600.0,37500.0,1220.0,918.0,180.0,3260.0,979.0,0.736,17.2,18.1,15.0,0.028,2120.0,2170.0,2350.0
30.2,16.6,39.8,1.51,1.31,0.378,1.61,0.585,1.88,5670.0,3540.0,11200.0,434.0,318.0,113.0,539.0,141.0,0.754,4.0,4.02,3.8,0.32,1980.0,2030.0,2160.0
47.3,28.8,6.96,3.66,0.78,0.392,1.54,1.3,3.78,11900.0,8200.0,2620.0,1400.0,253.0,156.0,688.0,419.0,1.53,5.3,5.38,5.47,0.037,2630.0,2730.0,2800.0
32.1,11.7,10.7,21.4,3.15,0.635,0.517,0.819,13.0,14200.0,5890.0,7120.0,14500.0,1800.0,446.0,408.0,465.0,5.96,8.3,9.5,7.65,0.027,2070.0,2160.0,2170.0
32.7,27.8,21.6,1.39,1.54,0.203,0.889,1.14,3.53,7440.0,7150.0,7350.0,482.0,452.0,73.0,360.0,331.0,1.46,4.7,4.86,4.26,0.056,2210.0,2480.0,2560.0
30.8,15.4,43.5,0.34,0.631,0.101,2.06,0.54,2.0,56700.0,32000.0,120000.0,956.0,1500.0,295.0,6750.0,1270.0,0.833,37.8,39.4,37.8,0.012,1940.0,1990.0,2170.0
54.9,34.0,3.1,0.2,1.05,0.864,3.6,1.1,0.9,85500.0,60000.0,7230.0,476.0,2100.0,2130.0,9980.0,2190.0,0.375,32.0,33.3,48.6,0.005,2910.0,2910.0,2910.0
54.1,31.0,2.29,1.46,0.78,0.702,1.6,1.39,1.58,15400.0,9950.0,971.0,631.0,285.0,316.0,807.0,504.0,0.648,5.9,6.07,5.94,0.0074,2800.0,2800.0,2800.0
