Sample_ID,Ash_Deformation,Ash_Softening,Ash_Fluid,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,TiO2,SO3,Si,Al,Fe,Ca,Mg,Na,K,Ti,TS,GSAsh,GSAsh_Dry,Standard_Ash,MnO
W210263,2800.0,2800.0,2800.0,68.0,25.3,1.07,0.42,0.365,0.081,1.39,1.89,0.725,67000.0,28200.0,1580.0,632.0,464.0,126.0,2450.0,2380.0,0.298,20.5,21.1,21.9,0.0023
W210264,2800.0,2800.0,2800.0,53.4,29.6,7.38,1.19,0.515,0.122,1.31,1.99,1.73,17700.0,11100.0,3650.0,602.0,220.0,63.7,772.0,843.0,0.708,6.9,7.08,8.73,0.005
W210265,2290.0,2550.0,2680.0,41.6,28.3,11.9,2.21,1.46,0.405,4.46,1.15,3.53,5550.0,4290.0,2380.0,452.0,252.0,85.8,1060.0,197.0,1.44,2.8,2.86,7.17,0.014
W210266,2410.0,2710.0,2800.0,50.4,29.2,6.41,1.53,1.43,0.297,3.93,1.57,2.08,24400.0,16000.0,4640.0,1130.0,891.0,228.0,3390.0,973.0,0.843,10.2,10.4,10.39,0.012
W210267,2740.0,2800.0,2800.0,50.9,31.2,4.45,2.44,0.681,0.54,1.67,1.57,2.8,12500.0,8710.0,1640.0,917.0,216.0,211.0,732.0,495.0,1.13,5.2,5.27,2.2,0.0089
W210268,2800.0,2800.0,2800.0,45.4,36.0,5.38,1.95,0.896,0.338,2.98,0.953,2.2,16100.0,14500.0,2850.0,1050.0,410.0,190.0,1880.0,432.0,0.89,7.5,7.58,5.0,0.0073
W210269,2800.0,2800.0,2800.0,72.7,19.2,1.5,0.672,0.249,0.284,0.505,3.43,1.23,9630.0,2870.0,298.0,136.0,42.5,59.5,119.0,581.0,0.496,2.8,2.83,8.5,0.0026
W210270,2150.0,2260.0,2370.0,44.7,26.3,13.9,1.86,1.08,0.176,2.79,1.52,2.38,9550.0,6350.0,4450.0,608.0,297.0,59.4,1060.0,416.0,0.965,4.5,4.57,10.4,0.12
W210271,2480.0,2570.0,2700.0,53.6,26.6,5.92,0.826,1.36,0.459,5.38,1.02,1.75,33500.0,18800.0,5530.0,788.0,1100.0,454.0,5990.0,815.0,0.709,13.2,13.4,9.2,0.019
W210272,2800.0,2800.0,2800.0,56.5,29.7,2.76,1.05,0.714,0.351,2.13,1.76,1.58,34900.0,20700.0,2550.0,990.0,568.0,343.0,2340.0,1390.0,0.64,13.0,13.2,3.5,0.0089
W210273,2800.0,2800.0,2800.0,54.2,31.8,5.55,0.546,0.564,0.108,2.19,1.86,1.33,26700.0,17800.0,4090.0,411.0,359.0,84.4,1920.0,1170.0,0.538,10.4,10.6,18.0,0.0044
W210274,2380.0,2510.0,2600.0,34.4,34.0,7.65,5.49,1.33,1.49,1.44,0.819,5.68,11400.0,12800.0,3800.0,2780.0,568.0,781.0,852.0,348.0,2.3,7.0,7.1,2.1,0.01
W210275,2800.0,2800.0,2800.0,53.4,32.7,3.3,1.33,0.681,0.392,1.74,2.11,1.6,51000.0,35400.0,4720.0,1940.0,839.0,593.0,2970.0,2580.0,0.648,20.2,20.5,6.5,0.0068
W210277,2800.0,2800.0,2800.0,51.4,32.6,5.02,1.22,0.88,0.378,2.74,1.47,1.85,15400.0,11000.0,2240.0,556.0,339.0,179.0,1460.0,562.0,0.75,6.3,6.39,7.1,0.014
W210278,2750.0,2800.0,2800.0,52.6,29.4,7.81,0.868,0.93,0.203,3.06,1.2,1.45,10200.0,6460.0,2270.0,257.0,232.0,62.3,1060.0,299.0,0.587,4.1,4.15,12.6,0.0064
