Sample_ID,Ash_Deformation,Ash_Softening,Ash_Fluid,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,TiO2,SO3,Si,Al,Fe,Ca,Mg,Na,K,Ti,TS,GSAsh,GSAsh_Dry,Standard_Ash,MnO
W194953,2800.0,2800.0,2800.0,53.5,27.2,5.0,0.67,1.08,0.311,2.9,2.0,0.8,71500.0,41200.0,10000.0,1370.0,1860.0,658.0,6900.0,3420.0,0.324,28.3,28.6,19.7,0.0092
W194954,2125.0,2245.0,2355.0,38.2,20.7,21.5,3.3,0.797,0.257,1.7,1.3,3.8,25700.0,15800.0,21600.0,3390.0,691.0,273.0,2040.0,1120.0,1.54,14.2,14.4,14.7,0.02
W194956,2800.0,2800.0,2800.0,53.4,34.0,2.6,0.69,0.365,0.162,1.3,2.2,0.6,36100.0,26000.0,2630.0,714.0,319.0,174.0,1570.0,1910.0,0.245,14.2,14.5,13.0,0.013
W194957,2800.0,2800.0,2800.0,47.6,37.4,2.7,0.59,0.78,0.257,2.9,2.1,0.53,40900.0,36400.0,3470.0,775.0,865.0,350.0,4440.0,2310.0,0.216,18.1,18.4,14.3,0.0069
W194958,2155.0,2245.0,2355.0,40.2,20.1,19.6,2.4,0.647,0.756,1.2,1.2,2.2,13100.0,7430.0,9580.0,1200.0,273.0,392.0,698.0,502.0,0.892,6.9,6.99,6.0,0.017
W194959,2055.0,2155.0,2265.0,30.2,14.9,34.9,1.5,0.581,0.338,1.6,0.85,2.4,12000.0,6690.0,20700.0,910.0,297.0,212.0,1130.0,432.0,0.971,8.4,8.49,7.4,0.024
W194960,2155.0,2255.0,2365.0,34.4,17.8,29.1,1.8,0.498,0.473,1.0,1.1,2.7,13900.0,8130.0,17600.0,1110.0,259.0,302.0,718.0,568.0,1.1,8.5,8.63,8.5,0.033
W194961,2105.0,2210.0,2350.0,40.2,21.7,19.6,2.2,0.764,0.311,1.8,1.3,2.7,18300.0,11200.0,13400.0,1530.0,448.0,224.0,1460.0,758.0,1.1,9.6,9.75,8.7,0.026
W194962,2435.0,2545.0,2650.0,45.1,23.2,13.3,2.5,0.83,0.23,2.1,1.3,3.0,14600.0,8480.0,6430.0,1230.0,346.0,118.0,1210.0,537.0,1.22,6.8,6.91,6.3,0.018
W194963,1955.0,2055.0,2150.0,26.0,15.6,31.6,4.6,0.813,0.675,0.77,0.9,7.5,12400.0,8440.0,22600.0,3360.0,501.0,511.0,655.0,550.0,3.04,10.1,10.2,10.7,0.037
W194964,2045.0,2150.0,2255.0,40.3,20.8,23.6,1.7,0.797,0.257,1.7,1.0,2.7,18700.0,10900.0,16400.0,1210.0,478.0,189.0,1410.0,595.0,1.1,9.8,9.95,9.4,0.025
W194965,1960.0,2055.0,2175.0,35.1,19.9,25.4,2.2,0.647,0.567,1.3,1.1,3.7,12800.0,8220.0,13900.0,1230.0,305.0,328.0,845.0,514.0,1.5,7.7,7.81,9.4,0.021
W194968,2305.0,2405.0,2515.0,45.7,20.9,14.6,2.1,0.681,0.365,1.5,1.5,3.5,14200.0,7330.0,6770.0,994.0,272.0,179.0,827.0,595.0,1.43,6.5,6.63,6.4,0.017
W194969,2120.0,2215.0,2305.0,36.6,18.0,14.5,8.2,0.88,0.621,1.1,1.1,6.2,14800.0,8260.0,8800.0,5080.0,460.0,399.0,794.0,571.0,2.5,8.6,8.68,7.5,0.026
W194970,2205.0,2320.0,2415.0,39.3,24.6,21.7,1.7,0.531,0.189,1.5,0.9,2.5,14000.0,9900.0,11500.0,924.0,243.0,107.0,950.0,409.0,1.01,7.5,7.61,8.0,0.015
W194971,2145.0,2235.0,2330.0,44.4,16.7,20.0,3.0,0.73,0.216,2.3,0.88,3.5,30700.0,13100.0,20700.0,3170.0,652.0,237.0,2830.0,779.0,1.42,14.6,14.8,13.0,0.055
W194972,2165.0,2255.0,2365.0,41.0,23.3,17.1,2.7,0.797,0.243,1.7,1.3,3.8,12600.0,8140.0,7890.0,1270.0,317.0,119.0,934.0,513.0,1.54,6.5,6.6,7.3,0.014
W194973,2795.0,2800.0,2800.0,49.8,25.6,6.6,1.9,0.564,0.513,1.8,1.5,1.9,14900.0,8690.0,2960.0,870.0,218.0,244.0,961.0,576.0,0.774,6.3,6.42,6.1,0.0079
W194974,2045.0,2135.0,2215.0,29.6,16.9,26.4,4.7,0.697,0.27,1.5,1.1,6.7,10500.0,6800.0,14000.0,2550.0,319.0,152.0,949.0,500.0,2.72,7.5,7.61,6.7,0.029
W194975,2205.0,2315.0,2415.0,39.7,21.9,15.7,5.4,0.797,0.27,1.8,1.1,4.0,14000.0,8710.0,8260.0,2900.0,361.0,150.0,1130.0,495.0,1.63,7.4,7.52,7.7,0.03
W194976,2155.0,2245.0,2355.0,36.7,21.9,18.3,4.6,0.697,0.378,1.3,1.0,5.4,15000.0,10100.0,11200.0,2870.0,366.0,244.0,944.0,522.0,2.19,8.6,8.72,10.1,0.041
W194977,2115.0,2215.0,2320.0,27.8,19.0,21.0,8.1,0.813,0.594,1.4,0.93,7.2,8720.0,6750.0,9860.0,3880.0,329.0,295.0,782.0,373.0,2.93,6.6,6.71,6.4,0.026
W194978,2165.0,2255.0,2360.0,44.7,19.5,21.6,0.8,0.531,0.216,2.3,1.1,1.1,34300.0,16900.0,24800.0,938.0,525.0,263.0,3140.0,1080.0,0.446,16.2,16.4,16.1,0.019
W194979,2255.0,2355.0,2460.0,49.3,19.3,14.5,1.8,0.83,0.351,2.5,1.2,2.5,28500.0,12700.0,12600.0,1590.0,620.0,322.0,2580.0,889.0,1.02,12.1,12.4,11.1,0.02
W194980,2105.0,2195.0,2305.0,32.5,20.7,22.3,4.1,1.01,0.783,2.1,0.97,6.0,9730.0,7020.0,9990.0,1880.0,391.0,372.0,1120.0,372.0,2.44,6.3,6.41,6.3,0.02
W194981,2055.0,2140.0,2255.0,30.0,17.1,28.6,3.8,0.764,0.351,1.4,0.87,5.6,10600.0,6820.0,15100.0,2040.0,347.0,196.0,878.0,392.0,2.28,7.4,7.54,7.6,0.025
W194982,2005.0,2115.0,2225.0,24.1,14.8,31.2,7.6,0.764,0.189,1.3,0.74,8.5,7220.0,5020.0,14000.0,3480.0,295.0,89.7,693.0,284.0,3.46,6.3,6.41,6.8,0.059
W194983,1995.0,2105.0,2230.0,29.5,14.7,30.4,4.4,0.78,0.203,1.5,0.85,6.0,11200.0,6340.0,17300.0,2560.0,383.0,122.0,1020.0,415.0,2.45,8.0,8.16,7.7,0.038
W194984,2505.0,2615.0,2705.0,58.5,21.4,6.6,0.83,0.88,0.27,2.4,1.2,1.3,26000.0,10800.0,4390.0,564.0,504.0,190.0,1900.0,683.0,0.526,9.4,9.52,11.6,0.0093
W194985,2705.0,2795.0,2800.0,55.3,22.8,4.9,1.2,0.946,0.446,2.7,1.6,1.6,19700.0,9190.0,2610.0,653.0,434.0,251.0,1710.0,729.0,0.65,7.5,7.62,6.3,0.013
W194986,2655.0,2750.0,2800.0,50.0,28.6,6.8,0.74,0.979,0.446,3.3,1.2,1.1,19100.0,12300.0,3880.0,431.0,481.0,269.0,2240.0,585.0,0.443,8.1,8.16,7.4,0.0093
W194987,2245.0,2345.0,2460.0,41.1,26.1,15.0,1.6,1.16,0.567,3.3,1.1,2.4,6000.0,4320.0,3280.0,357.0,219.0,131.0,858.0,206.0,0.968,3.1,3.13,4.9,0.011
W194988,2550.0,2650.0,2765.0,44.1,28.1,7.8,2.8,1.03,1.62,0.77,1.6,5.0,6700.0,4840.0,1770.0,650.0,202.0,390.0,208.0,311.0,2.03,3.2,3.25,3.4,0.055
W194989,2800.0,2800.0,2800.0,50.3,28.2,8.8,1.2,0.365,0.581,0.72,1.4,1.6,11400.0,7200.0,2970.0,414.0,106.0,208.0,289.0,404.0,0.644,4.8,4.83,4.6,0.0057
W194990,2245.0,2355.0,2475.0,42.3,22.4,16.9,1.0,0.797,0.743,2.8,1.1,1.5,8580.0,5140.0,5130.0,310.0,208.0,239.0,1010.0,285.0,0.606,4.3,4.34,4.2,0.0099
W195005,2800.0,2800.0,2800.0,56.3,30.0,2.9,0.43,0.531,0.162,2.5,2.1,0.33,37900.0,22800.0,2920.0,442.0,461.0,173.0,2990.0,1810.0,0.136,14.0,14.4,13.2,0.0046
W195009,2105.0,2205.0,2315.0,42.6,12.9,25.8,1.8,0.714,0.216,2.0,0.52,2.8,14700.0,5050.0,13400.0,951.0,318.0,118.0,1230.0,230.0,1.15,7.2,7.4,8.6,0.19
W195012,2105.0,2210.0,2315.0,34.7,20.3,22.6,4.2,0.465,0.149,1.7,0.62,6.8,4840.0,3210.0,4720.0,896.0,83.7,32.9,423.0,111.0,2.8,2.9,2.99,2.9,0.0055
W195013,1955.0,2060.0,2155.0,37.6,16.0,23.3,4.2,1.29,0.432,2.7,0.68,5.4,8100.0,3900.0,7510.0,1380.0,360.0,148.0,1040.0,188.0,2.21,4.5,4.61,4.2,0.14
W195016,2800.0,2800.0,2800.0,58.9,27.3,4.1,0.96,0.847,0.351,2.5,1.5,0.84,57800.0,30300.0,6020.0,1440.0,1070.0,546.0,4370.0,1880.0,0.343,20.6,21.0,20.9,0.024
W195017,2055.0,2165.0,2255.0,46.0,21.8,17.9,1.4,0.515,0.189,1.7,1.8,2.2,23200.0,12500.0,13500.0,1080.0,335.0,151.0,1530.0,1160.0,0.897,10.6,10.8,9.4,0.0078
W195020,1955.0,2060.0,2160.0,20.6,14.8,21.6,16.3,0.647,0.297,0.96,1.0,14.4,3810.0,3100.0,5980.0,4610.0,154.0,87.1,316.0,237.0,5.85,3.9,3.96,3.3,0.014
W195021,2055.0,2150.0,2265.0,45.4,26.1,12.3,2.6,0.631,0.851,1.0,1.8,3.2,7340.0,4780.0,2980.0,642.0,131.0,218.0,288.0,372.0,1.3,3.4,3.46,3.7,0.0064
W195024,2800.0,2800.0,2800.0,56.6,30.5,3.0,1.2,0.714,0.486,1.9,2.2,1.2,12300.0,7530.0,979.0,400.0,201.0,168.0,738.0,614.0,0.487,4.6,4.67,4.3,0.0063
W195029,2800.0,2800.0,2800.0,55.0,27.5,3.1,2.1,0.664,0.77,1.5,2.0,2.8,16200.0,9160.0,1370.0,944.0,252.0,359.0,786.0,753.0,1.16,6.1,6.3,6.0,0.0087
W195030,2800.0,2800.0,2800.0,64.2,22.1,2.7,1.5,0.365,0.189,0.6,2.8,1.8,19800.0,7700.0,1240.0,705.0,145.0,92.2,329.0,1100.0,0.741,6.4,6.59,7.1,0.009
W195031,2800.0,2800.0,2800.0,49.9,36.2,2.6,1.6,0.481,0.54,1.6,1.1,1.7,10800.0,8870.0,842.0,529.0,134.0,185.0,617.0,305.0,0.7,4.5,4.63,5.1,0.0059
W195032,2800.0,2800.0,2800.0,56.7,29.2,2.7,0.85,0.465,0.675,1.4,2.0,0.7,30700.0,17900.0,2190.0,704.0,325.0,580.0,1350.0,1390.0,0.288,11.3,11.6,10.3,0.0046
W195033,2675.0,2785.0,2800.0,45.0,29.6,7.0,1.8,1.13,0.729,4.1,0.96,2.7,15000.0,11200.0,3500.0,919.0,486.0,386.0,2440.0,410.0,1.12,6.9,7.15,6.7,0.013
W195036,2365.0,2465.0,2555.0,40.5,28.0,4.9,5.4,1.13,1.89,1.4,1.7,9.2,3290.0,2580.0,596.0,671.0,118.0,243.0,203.0,177.0,3.76,1.7,1.74,1.7,0.02
W195037,2655.0,2760.0,2800.0,51.6,26.7,4.0,3.1,0.83,0.864,0.45,2.4,4.3,7900.0,4630.0,917.0,725.0,164.0,210.0,123.0,470.0,1.76,3.2,3.28,3.4,0.0059
W195038,2755.0,2800.0,2800.0,46.5,35.5,3.7,2.0,0.531,0.662,1.6,1.6,2.6,9480.0,8190.0,1130.0,623.0,140.0,214.0,581.0,417.0,1.05,4.3,4.36,4.0,0.0061
W195039,2655.0,2745.0,2745.0,47.3,28.0,8.2,1.5,0.797,1.12,3.1,1.4,2.2,10800.0,7200.0,2790.0,521.0,233.0,404.0,1250.0,407.0,0.892,4.8,4.86,7.1,0.0065
W195044,2425.0,2540.0,2645.0,45.3,26.0,16.4,1.4,0.415,0.527,0.95,1.8,1.5,28200.0,18300.0,15300.0,1330.0,333.0,520.0,1050.0,1440.0,0.606,13.2,13.3,12.6,0.02
W195045,2800.0,2800.0,2800.0,56.1,27.2,2.7,3.6,0.498,0.216,0.69,2.8,3.0,26300.0,14400.0,1890.0,2570.0,300.0,160.0,575.0,1680.0,1.23,9.8,10.0,10.2,0.029
W195046,2800.0,2800.0,2800.0,47.4,32.2,6.6,1.1,0.714,0.338,2.9,1.3,1.2,17700.0,13600.0,3680.0,627.0,343.0,199.0,1930.0,620.0,0.491,7.8,7.98,8.8,0.0062
W195047,2800.0,2800.0,2800.0,50.5,31.3,3.2,0.92,0.78,0.392,4.0,1.4,1.9,13300.0,9360.0,1260.0,371.0,266.0,164.0,1880.0,473.0,0.767,5.6,5.65,5.4,0.0077
W195048,2045.0,2160.0,2260.0,36.8,23.2,20.2,1.6,0.498,1.3,1.6,1.1,2.5,4170.0,2980.0,3430.0,277.0,72.8,233.0,323.0,160.0,1.01,2.4,2.43,4.2,0.021
W195054,2655.0,2755.0,2800.0,43.2,27.1,6.7,3.2,0.963,0.797,1.8,1.3,6.0,7390.0,5250.0,1720.0,837.0,212.0,216.0,549.0,285.0,2.44,3.6,3.66,4.4,0.012
W195055,2415.0,2540.0,2615.0,40.3,28.1,8.6,4.1,0.963,0.716,1.9,1.1,6.4,4260.0,3360.0,1360.0,662.0,131.0,120.0,357.0,149.0,2.63,2.2,2.26,2.4,0.015
W195056,2195.0,2305.0,2425.0,42.8,23.1,20.9,1.3,0.481,0.297,1.5,1.3,1.6,17600.0,10800.0,12900.0,817.0,255.0,194.0,1100.0,685.0,0.648,8.7,8.81,9.4,0.0089
W195057,2665.0,2765.0,2800.0,52.9,27.9,6.8,1.1,0.515,0.27,2.1,1.7,1.6,24800.0,14800.0,4780.0,789.0,311.0,201.0,1750.0,1020.0,0.649,9.9,10.0,9.0,0.0043
W195058,2425.0,2540.0,2615.0,48.6,28.0,3.8,6.6,0.647,0.432,1.6,1.4,5.2,10100.0,6620.0,1190.0,2110.0,174.0,143.0,595.0,374.0,2.11,4.4,4.47,5.5,0.021
W195060,2800.0,2800.0,2800.0,53.9,30.9,4.9,1.1,0.697,0.527,1.7,1.8,1.3,16100.0,10400.0,2190.0,502.0,268.0,249.0,904.0,688.0,0.527,6.3,6.39,5.1,0.0045
W195061,2800.0,2800.0,2800.0,65.4,24.5,2.6,0.82,0.382,0.338,1.7,1.9,0.83,24000.0,10200.0,1430.0,459.0,180.0,196.0,1110.0,891.0,0.338,7.7,7.84,7.1,0.002
W195062,2800.0,2800.0,2800.0,59.8,26.0,4.3,0.69,0.581,0.311,1.5,2.1,0.82,35500.0,17500.0,3820.0,625.0,444.0,292.0,1580.0,1590.0,0.333,12.5,12.7,13.3,0.005
W195066,2510.0,2610.0,2715.0,48.0,27.4,4.9,2.9,0.697,0.392,1.9,1.5,4.0,6830.0,4410.0,1040.0,630.0,128.0,88.2,481.0,273.0,1.62,3.0,3.04,3.4,0.0032
W195067,2465.0,2580.0,2665.0,48.2,28.8,6.0,1.6,1.03,0.567,4.1,1.5,2.3,23100.0,15600.0,4300.0,1170.0,635.0,430.0,3490.0,919.0,0.933,10.1,10.2,10.3,0.0093
W195068,2345.0,2455.0,2575.0,48.9,26.9,8.9,2.0,0.614,0.594,1.7,1.6,3.2,17000.0,10600.0,4630.0,1060.0,275.0,327.0,1050.0,711.0,1.3,7.3,7.44,7.0,0.015
W195133,2305.0,2405.0,2495.0,50.0,24.3,3.9,6.5,0.963,0.216,0.64,2.3,3.4,36700.0,20200.0,4280.0,7290.0,911.0,251.0,837.0,2160.0,1.37,15.6,15.7,12.6,0.044
W195134,2505.0,2615.0,2715.0,50.5,23.4,6.4,0.99,1.66,0.311,5.2,1.1,1.8,33400.0,17500.0,6330.0,1000.0,1410.0,325.0,6120.0,930.0,0.727,14.0,14.1,10.4,0.02
W195135,2055.0,2165.0,2255.0,13.9,6.2,28.3,17.6,2.16,0.149,0.81,0.37,14.1,5690.0,2870.0,17300.0,11000.0,1140.0,96.4,590.0,194.0,5.68,8.7,8.76,7.4,0.043
W195137,2255.0,2360.0,2465.0,56.4,21.1,5.3,3.7,1.16,0.23,2.3,1.4,3.1,57900.0,24500.0,8140.0,5800.0,1540.0,373.0,4200.0,1840.0,1.25,21.8,22.0,15.3,0.033
W195439,2545.0,2655.0,2755.0,45.6,28.5,9.2,1.8,1.58,0.365,3.2,1.1,3.1,11300.0,8020.0,3420.0,684.0,505.0,144.0,1420.0,350.0,1.27,5.2,5.32,4.6,0.032
W195440,2800.0,2800.0,2800.0,62.7,25.7,3.0,0.56,0.747,0.189,2.8,2.6,0.49,90300.0,41900.0,6460.0,1230.0,1390.0,431.0,7180.0,4790.0,0.198,30.5,30.8,30.9,0.0056
W195441,2800.0,2800.0,2800.0,51.8,31.0,4.0,1.3,0.598,0.446,2.4,1.5,2.1,14500.0,9830.0,1680.0,556.0,216.0,198.0,1200.0,537.0,0.853,5.9,5.99,5.7,0.0056
W195442,2800.0,2800.0,2800.0,55.2,30.2,4.3,0.65,1.29,0.216,4.0,1.2,0.76,37300.0,23100.0,4350.0,672.0,1130.0,232.0,4820.0,1040.0,0.31,14.2,14.5,17.0,0.0098
W195443,2800.0,2800.0,2800.0,57.7,26.5,5.2,0.67,0.963,0.473,3.4,1.2,0.97,36500.0,19000.0,4920.0,647.0,784.0,473.0,3820.0,970.0,0.394,13.3,13.5,14.0,0.0075
W195444,2155.0,2255.0,2355.0,43.2,25.0,12.3,2.4,1.38,0.527,2.4,1.1,4.0,10400.0,6810.0,4430.0,882.0,427.0,201.0,1030.0,339.0,1.62,5.1,5.15,4.4,0.032
W196283,2105.0,2215.0,2305.0,52.6,30.4,5.6,0.69,0.681,0.324,2.7,1.8,0.79,19400.0,12700.0,3100.0,389.0,324.0,190.0,1780.0,851.0,0.32,7.8,7.91,6.0,0.0073
W196287,2095.0,2205.0,2315.0,26.0,14.8,41.3,1.2,0.664,0.338,1.4,0.86,2.1,13100.0,8470.0,31200.0,927.0,433.0,270.0,1260.0,556.0,0.849,10.7,10.8,11.2,0.017
W196288,2715.0,2800.0,2800.0,55.7,26.4,3.8,1.4,0.946,0.716,2.5,1.5,2.1,20400.0,10900.0,2080.0,782.0,446.0,415.0,1630.0,702.0,0.854,7.7,7.83,8.2,0.0066
W196289,2545.0,2655.0,2755.0,48.3,26.7,3.9,4.3,0.664,0.797,1.2,1.7,3.1,11700.0,7300.0,1410.0,1590.0,207.0,305.0,516.0,525.0,1.26,5.1,5.17,4.9,0.0059
W196290,2515.0,2615.0,2755.0,55.7,24.0,6.6,0.52,2.16,0.284,5.4,1.2,0.73,45000.0,21900.0,7970.0,641.0,2250.0,363.0,7760.0,1240.0,0.295,17.1,17.3,16.6,0.025
W196439,2000.0,2120.0,2240.0,43.6,19.7,21.8,1.2,0.598,0.419,2.6,1.1,1.7,18000.0,9230.0,13500.0,759.0,319.0,274.0,1920.0,582.0,0.708,8.5,8.85,8.2,0.014
W196594,2800.0,2800.0,2800.0,54.9,28.1,2.8,2.0,0.398,0.257,1.5,1.5,1.0,25500.0,14800.0,1950.0,1420.0,239.0,189.0,1240.0,893.0,0.41,9.7,9.95,9.1,0.018
W196654,2560.0,2610.0,2730.0,74.3,7.7,5.2,3.9,0.813,0.176,0.88,1.1,5.9,153000.0,18000.0,16000.0,12300.0,2160.0,573.0,3230.0,2900.0,2.72,38.2,42.9,23.9,0.074
W197299,2080.0,2260.0,2460.0,42.0,22.2,27.2,1.49,0.681,0.324,1.78,1.14,2.69,10800.0,6450.0,10400.0,584.0,225.0,132.0,813.0,374.0,1.09,5.4,5.49,6.4,0.02
W197300,2910.0,2910.0,2910.0,54.2,30.4,6.28,1.31,0.448,0.446,0.88,1.83,1.7,12100.0,7650.0,2090.0,446.0,129.0,157.0,349.0,522.0,0.69,4.7,4.77,6.2,0.0052
W197303,2250.0,2300.0,2350.0,38.7,23.7,8.97,8.95,1.61,0.972,3.59,1.0,8.28,15400.0,10700.0,5330.0,5430.0,825.0,612.0,2540.0,508.0,3.35,8.4,8.5,6.1,0.053
W197304,2140.0,2190.0,2350.0,32.8,21.2,14.7,9.49,1.99,1.2,2.28,0.85,13.1,6680.0,4890.0,4480.0,2950.0,522.0,387.0,826.0,221.0,5.28,4.3,4.35,4.4,0.086
W197305,2080.0,2180.0,2280.0,34.1,20.8,18.9,17.2,1.83,0.581,2.47,0.94,11.1,6590.0,4560.0,5470.0,5080.0,456.0,178.0,851.0,233.0,4.48,4.1,4.14,2.9,0.18
W197306,2180.0,2230.0,2330.0,41.5,22.3,10.2,7.91,1.49,0.621,2.55,1.16,9.85,12300.0,7490.0,4540.0,3590.0,573.0,293.0,1350.0,441.0,3.98,6.3,6.36,6.0,0.046
W197308,2300.0,2350.0,2530.0,43.0,23.0,8.19,8.9,1.66,0.311,1.64,1.2,5.76,17400.0,10600.0,4980.0,5520.0,869.0,200.0,1190.0,623.0,2.33,8.6,8.69,9.4,0.028
W198542,2080.0,2180.0,2400.0,38.7,23.3,28.0,2.2,0.681,0.243,1.05,1.29,2.87,11700.0,8010.0,12700.0,1020.0,266.0,117.0,567.0,500.0,1.16,6.4,6.48,5.7,0.0083
W198543,2780.0,2910.0,2910.0,62.2,25.1,3.28,0.59,0.797,0.203,2.9,2.41,0.59,81000.0,37000.0,6390.0,1170.0,1340.0,418.0,6730.0,4020.0,0.237,27.7,27.9,6.9,0.006
W198978,2155.0,2260.0,2355.0,43.3,17.4,28.2,2.48,0.697,0.351,1.87,0.82,3.57,21100.0,9580.0,20500.0,1840.0,437.0,270.0,1620.0,510.0,1.47,10.1,10.4,8.5,0.018
W198979,2105.0,2205.0,2315.0,48.7,19.4,27.2,0.8,0.531,0.23,1.56,0.96,0.08,26900.0,12200.0,22500.0,676.0,379.0,201.0,1540.0,680.0,0.0327,11.6,11.8,10.4,0.0079
W198980,2080.0,2130.0,2300.0,41.5,22.0,29.5,0.7,0.531,0.23,1.67,0.9,1.27,19000.0,11400.0,20200.0,491.0,314.0,167.0,1360.0,528.0,0.53,9.4,9.84,7.2,0.0093
W198981,2800.0,2800.0,2800.0,56.6,26.3,8.89,0.75,1.1,0.365,2.46,1.24,1.18,88800.0,46800.0,20900.0,1800.0,2220.0,907.0,6880.0,2490.0,0.481,33.0,33.6,35.1,0.0089
W198984,2155.0,2255.0,2355.0,49.7,23.6,19.8,0.82,0.664,0.257,1.79,1.16,1.42,25600.0,13700.0,15300.0,646.0,441.0,210.0,1640.0,765.0,0.58,10.8,11.0,9.6,0.011
W198985,2605.0,2715.0,2800.0,48.9,20.9,16.7,2.32,0.548,0.284,2.14,1.13,4.89,19800.0,9550.0,10100.0,1430.0,286.0,182.0,1540.0,585.0,1.99,8.5,8.66,31.5,0.015
W198986,2030.0,2130.0,2330.0,48.0,21.1,23.4,0.74,0.847,0.189,2.58,0.92,1.35,47700.0,23700.0,34800.0,1120.0,1080.0,297.0,4560.0,1170.0,0.554,20.7,21.2,8.2,0.012
W198987,1990.0,2040.0,2260.0,42.1,15.1,18.6,7.55,2.99,0.203,1.94,0.74,5.65,34200.0,13800.0,22600.0,9360.0,3120.0,260.0,2800.0,768.0,2.32,16.9,17.4,9.7,0.039
W198988,2190.0,2270.0,2490.0,50.8,23.6,15.3,0.87,0.93,0.243,2.84,1.05,1.56,42400.0,22300.0,19100.0,1110.0,1000.0,321.0,4220.0,1120.0,0.64,17.4,17.9,16.1,0.012
W198990,2005.0,2100.0,2210.0,45.5,22.0,27.0,1.22,0.664,0.257,1.82,1.08,2.03,19700.0,10800.0,17500.0,809.0,372.0,176.0,1410.0,600.0,0.829,9.1,9.29,11.5,0.019
W198991,2005.0,2115.0,2205.0,21.1,14.8,53.1,2.6,0.382,0.297,0.37,0.39,4.91,7700.0,6100.0,29000.0,1450.0,180.0,172.0,241.0,182.0,2.05,7.5,7.81,11.7,0.067
W199000,2800.0,2800.0,2800.0,49.8,34.7,5.19,0.94,0.481,1.16,1.43,1.04,1.5,16500.0,13000.0,2570.0,475.0,205.0,609.0,843.0,441.0,0.625,6.8,7.08,5.4,0.004
W199001,2800.0,2800.0,2800.0,48.8,34.3,5.91,0.98,0.548,1.09,1.27,0.97,1.41,15700.0,12500.0,2840.0,481.0,227.0,557.0,726.0,399.0,0.588,6.6,6.88,6.4,0.0054
W199004,2300.0,2420.0,2515.0,36.1,28.1,11.4,4.64,1.83,0.27,1.91,0.61,9.3,22300.0,19600.0,10500.0,4380.0,1460.0,265.0,2100.0,483.0,3.88,12.7,13.2,11.2,0.24
W199007,2800.0,2800.0,2800.0,44.6,32.1,7.47,2.57,0.714,0.81,1.96,1.02,2.95,15600.0,12700.0,3920.0,1380.0,323.0,450.0,1220.0,457.0,1.23,7.2,7.5,6.6,0.014
W199008,2800.0,2800.0,2800.0,49.4,35.9,3.62,0.83,0.614,0.351,1.48,1.5,0.47,36600.0,30100.0,4010.0,938.0,586.0,412.0,1950.0,1420.0,0.196,15.2,15.8,14.8,0.03
W199009,2800.0,2800.0,2800.0,52.5,35.1,2.42,0.61,0.664,0.257,1.47,1.57,0.7,42400.0,32100.0,2930.0,753.0,692.0,329.0,2110.0,1620.0,0.292,16.6,17.3,14.3,0.0059
W199011,2405.0,2510.0,2615.0,43.0,27.3,15.7,2.19,0.73,0.405,2.78,0.89,3.47,25300.0,18200.0,13800.0,1970.0,555.0,378.0,2920.0,671.0,1.45,12.1,12.6,5.8,0.23
W199012,2340.0,2460.0,2580.0,41.0,29.6,15.0,2.13,0.963,0.743,2.76,0.92,3.27,13600.0,11100.0,7430.0,1080.0,411.0,390.0,1630.0,390.0,1.36,6.8,7.08,5.1,0.086
W199013,2110.0,2160.0,2260.0,34.6,19.1,18.4,8.44,1.11,0.189,1.22,0.74,13.9,16000.0,9980.0,12700.0,5960.0,663.0,139.0,1000.0,438.0,5.8,9.5,9.9,7.3,0.34
W199014,2550.0,2650.0,2910.0,31.5,42.1,11.1,1.78,0.465,0.554,1.3,0.59,6.17,14300.0,21600.0,7510.0,1230.0,271.0,397.0,1050.0,342.0,2.57,9.3,9.69,7.3,0.027
W199015,2910.0,2910.0,2910.0,41.7,34.6,3.89,4.28,1.18,0.675,1.53,0.85,7.28,11200.0,10500.0,1560.0,1750.0,407.0,286.0,729.0,291.0,3.03,5.5,5.73,4.9,0.022
W199016,2910.0,2910.0,2910.0,43.0,33.2,3.23,4.97,1.23,0.567,1.38,0.97,7.45,17600.0,15400.0,1980.0,3110.0,648.0,368.0,1000.0,508.0,3.1,8.4,8.75,7.8,0.073
W199017,2910.0,2910.0,2910.0,44.1,32.7,3.34,5.04,0.93,0.5,1.44,1.0,8.43,15000.0,12600.0,1700.0,2620.0,408.0,270.0,874.0,436.0,3.51,7.0,7.29,6.7,0.076
W199018,2180.0,2280.0,2500.0,36.2,25.1,13.1,6.82,1.83,0.54,1.85,0.78,11.4,22400.0,17600.0,12100.0,6440.0,1460.0,529.0,2040.0,617.0,4.76,12.7,13.2,9.2,1.1
W199022,2910.0,2910.0,2910.0,45.8,30.9,13.7,0.91,0.913,0.675,2.57,0.95,1.71,19000.0,14500.0,8480.0,575.0,487.0,443.0,1890.0,503.0,0.713,8.5,8.85,9.1,0.021
W199023,2910.0,2910.0,2910.0,45.5,34.8,9.42,1.26,0.797,0.945,2.18,0.9,2.08,13100.0,11300.0,4050.0,553.0,295.0,430.0,1110.0,331.0,0.867,5.9,6.15,6.5,0.014
W199024,2620.0,2720.0,2910.0,40.1,26.6,23.2,1.06,0.797,0.473,2.02,1.29,1.99,13700.0,10300.0,11800.0,552.0,350.0,255.0,1230.0,562.0,0.829,7.0,7.29,5.7,0.019
